,PostNumber,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName,PostLink,Author
0,1,C5203670,COVID-19,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
1,1,,,C4283938,Open Surgical Procedure,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
2,1,C0206750,Coronavirus Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
3,1,,,C1959633,Spatial guidance for medical procedure,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
4,1,,,C0374711,Surgical repair,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
5,1,,,,,,,C0699819,Gut,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
6,1,,,,,,,C0021853,Intestines,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
7,1,,,C0543467,Operative Surgical Procedures,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
8,1,,,C4283938,Open Surgical Procedure,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
9,1,,,C1456647,Childhood Immunization,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
10,1,,,C0279848,cisplatin/etoposide/mitoxantrone/tamoxifen protocol,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
11,1,,,,,,,C0227972,Structure of median lobe of prostate,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
12,1,,,,,,,C0016504,Foot,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
13,1,,,C0508431,answer questions,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
14,1,C0406636,Lupus erythematosus tumidus,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
15,1,C0848283,rundown,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
16,1,,,,,,,C0423866,Lanugo,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
17,1,,,C0035260,Physical Restraint (procedure),,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
18,1,C0221423,Illness (finding),,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
19,1,,,,,,,C0815353,Male external urethral sphincter,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
20,1,,,C0472888,McKeown esophagectomy,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
21,1,C4522181,Brachial Amyotrophic Diplegia,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
22,1,C0030193,Pain,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
23,1,,,C1456647,Childhood Immunization,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
24,1,C0012634,Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
25,1,,,C4283938,Open Surgical Procedure,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
26,1,,,C1959633,Spatial guidance for medical procedure,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200,author_170
27,2,,,,,,,C0040408,Tongue,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
28,2,C5203670,COVID-19,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
29,2,,,,,,,C0024109,Lung,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
30,2,,,,,,,C0006104,Brain,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
31,2,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
32,2,,,C0184933,Scraping,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
33,2,,,C0040461,Toothbrushing,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
34,2,C0221423,Illness (finding),,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
35,2,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
36,2,,,,,,,C0815353,Male external urethral sphincter,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
37,2,,,,,,,C0006104,Brain,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
38,2,,,,,,,C0227972,Structure of median lobe of prostate,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
39,2,,,C1318464,Occupational therapy regime,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
40,2,,,,,,,C0027740,Nerve,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
41,2,C1457887,Symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
42,2,,,,,,,C0501385,Sensory nerve,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
43,2,,,,,,,C0006104,Brain,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
44,2,C0221423,Illness (finding),,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
45,2,C4522181,Brachial Amyotrophic Diplegia,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
46,2,,,,,,,C0227230,Body of stomach,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
47,2,,,,,,,C0027792,Neural Pathways,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
48,2,C0863093,cold symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
49,2,,,,,,,C1184743,bony process,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
50,2,C0272285,Heparin-induced thrombocytopenia,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
51,2,,,,,,,C0006104,Brain,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
52,2,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
53,2,,,,,,,C0027792,Neural Pathways,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
54,2,C0863093,cold symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
55,2,,,,,,,C1184743,bony process,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
56,2,C0272285,Heparin-induced thrombocytopenia,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
57,2,,,,,,,C0006104,Brain,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
58,2,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743,author_15
59,3,C0221423,Illness (finding),,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
60,3,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
61,3,C0241898,Generalized fatigue,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
62,3,C0085594,Fever with chills,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
63,3,C1442877,Sore skin,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
64,3,C0234233,Sore to touch,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
65,3,,,C1293107,Expulsion (procedure),,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
66,3,,,,,,,C0815353,Male external urethral sphincter,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
67,3,,,C0392970,Doxorubicin/Docetaxel Regimen,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
68,3,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
69,3,C0012634,Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
70,3,,,,,,,C0178784,Organ,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
71,3,C0206750,Coronavirus Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
72,3,C0015672,Fatigue,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
73,3,,,C1533734,Administration procedure,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
74,3,,,C0087111,Therapeutic procedure,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
75,3,,,,,,,C0178784,Organ,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
76,3,C1457887,Symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
77,3,,,,,,,C0815353,Male external urethral sphincter,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
78,3,,,C1293132,Anchoring procedure,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
79,3,,,,,,,C1184743,bony process,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
80,3,,,C0204727,Isolation procedure,,,,,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
81,3,,,,,,,C0227230,Body of stomach,https://www.medhelp.org/posts/Coronavirus/IgM-and-IgG-antibody-test-for-Covid/show/3062742,author_27
82,4,C1457887,Symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
83,4,C0009443,Common Cold,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
84,4,C0239849,Harlequin Fetus,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
85,4,C1260880,Rhinorrhea,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
86,4,C0037383,Sneezing,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
87,4,C0010200,Coughing,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
88,4,C2364082,Sense of smell impaired,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
89,4,C3714552,Weakness,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
90,4,C0015967,Fever,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
91,4,C1457887,Symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
92,4,C1260880,Rhinorrhea,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
93,4,C0037383,Sneezing,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
94,4,C0010200,Coughing,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
95,4,C1457887,Symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
96,4,C5203670,COVID-19,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
97,4,C0013404,Dyspnea,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
98,4,C0009450,Communicable Diseases,,,,,,,https://www.medhelp.org/posts/Coronavirus/How-to-know-if-its-cold--flu-vs-corona/show/3058018,author_49
