Source,Destination,Weight
C5203670,C4283938,1159.0
C5203670,C0206750,2559.0
C5203670,C1959633,444.0
C5203670,C0374711,93.0
C5203670,C0699819,89.0
C5203670,C0021853,145.0
C5203670,C0543467,762.0
C5203670,C1456647,440.0
C5203670,C0279848,337.0
C5203670,C0227972,197.0
C5203670,C0016504,502.0
C5203670,C0508431,73.0
C5203670,C0406636,2028.0
C5203670,C0848283,2.0
C5203670,C0423866,282.0
C5203670,C0035260,1.0
C5203670,C0221423,1689.0
C5203670,C0815353,3532.0
C5203670,C0472888,4588.0
C5203670,C4522181,976.0
C5203670,C0030193,865.0
C5203670,C0012634,1356.0
C5203670,C0040408,17.0
C5203670,C0024109,639.0
C5203670,C0006104,189.0
C5203670,C0028429,358.0
C5203670,C0184933,1.0
C5203670,C0040461,8.0
C5203670,C1318464,56.0
C5203670,C0027740,87.0
C5203670,C0501385,4.0
C5203670,C0227230,974.0
C5203670,C0027792,2.0
C5203670,C0863093,41.0
C5203670,C1184743,525.0
C5203670,C0272285,369.0
C5203670,C0009450,1337.0
C5203670,C0085594,7.0
C5203670,C1442877,336.0
C5203670,C0234233,387.0
C5203670,C0392970,722.0
C5203670,C0178784,204.0
C5203670,C0015672,834.0
C5203670,C1533734,922.0
C5203670,C0087111,1791.0
C5203670,C1293132,23.0
C5203670,C0204727,551.0
C5203670,C0009443,587.0
C5203670,C0239849,3023.0
C5203670,C1260880,67.0
C5203670,C0037383,343.0
C5203670,C0010200,1009.0
C5203670,C2364082,34.0
C5203670,C3714552,178.0
C5203670,C0015967,789.0
C5203670,C0013404,487.0
C5203670,C0272238,1142.0
C5203670,C0021400,1295.0
C5203670,C0041912,506.0
C5203670,C0011847,118.0
C5203670,C0011849,118.0
C5203670,C0016976,2.0
C5203670,C0030305,2.0
C5203670,C0231807,151.0
C5203670,C0014518,94.0
C5203670,C4551656,35.0
C5203670,C1293152,35.0
C5203670,C3275067,199.0
C5203670,C2062441,25.0
C5203670,C0227073,16.0
C5203670,C1318154,9.0
C5203670,C0040452,9.0
C5203670,C0185125,19.0
C5203670,C0018563,2098.0
C5203670,C0079613,293.0
C5203670,C0015392,424.0
C5203670,C0085209,2.0
C5203670,C0017563,6.0
C5203670,C0031090,5.0
C5203670,C0877046,23.0
C5203670,C0027051,84.0
C5203670,C0011334,3.0
C5203670,C0026367,1.0
C5203670,C0040426,77.0
C5203670,C0184661,631.0
C5203670,C0185115,34.0
C5203670,C1550227,20.0
C5203670,C0227093,8.0
C5203670,C0011331,2.0
C5203670,C0744403,1.0
C5203670,C1524020,281.0
C5203670,C1522449,319.0
C5203670,C0034386,757.0
C5203670,C2364111,50.0
C5203670,C0920467,34.0
C5203670,C3257980,7.0
C5203670,C0442886,25.0
C5203670,C0023882,2.0
C5203670,C0025517,2.0
C5203670,C4521540,215.0
C5203670,C3887642,291.0
C5203670,C1511790,36.0
C5203670,C0231218,857.0
C5203670,C0392148,38.0
C5203670,C1856053,658.0
C5203670,C0040456,47.0
C5203670,C0043194,1295.0
C5203670,C0042196,667.0
C5203670,C4554334,667.0
C5203670,C3160718,233.0
C5203670,C0011209,470.0
C5203670,C0596601,304.0
C5203670,C5202801,19.0
C5203670,C0014122,19.0
C5203670,C0231617,698.0
