PostNumber,SymptomId,SymptomName,TreatmentId,TreatmentName,DrugId,DrugName,BodypartId,BodypartName,PostLink
1,C5203670,COVID-19,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C4283938,Open Surgical Procedure,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0206750,Coronavirus Infections,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C1959633,Spatial guidance for medical procedure,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C0374711,Surgical repair,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,,,,,C0699819,Gut,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,,,,,C0021853,Intestines,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C0543467,Operative Surgical Procedures,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C4283938,Open Surgical Procedure,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C1456647,Childhood Immunization,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C0279848,cisplatin/etoposide/mitoxantrone/tamoxifen protocol,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,,,,,C0227972,Structure of median lobe of prostate,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,,,,,C0016504,Foot,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C0508431,answer questions,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0406636,Lupus erythematosus tumidus,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0848283,rundown,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,,,,,C0423866,Lanugo,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C0035260,Physical Restraint (procedure),,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0221423,Illness (finding),,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,,,,,C0815353,Male external urethral sphincter,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C0472888,McKeown esophagectomy,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C4522181,Brachial Amyotrophic Diplegia,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0030193,Pain,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C1456647,Childhood Immunization,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,C0012634,Disease,,,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C4283938,Open Surgical Procedure,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
1,,,C1959633,Spatial guidance for medical procedure,,,,,https://www.medhelp.org/posts/Coronavirus/COVID-19-Evaluating-the-risk/show/3063200
2,,,,,,,C0040408,Tongue,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,C5203670,COVID-19,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0024109,Lung,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0006104,Brain,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,C0184933,Scraping,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,C0040461,Toothbrushing,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,C0221423,Illness (finding),,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0028429,Nose,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0815353,Male external urethral sphincter,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0006104,Brain,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0227972,Structure of median lobe of prostate,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,C1318464,Occupational therapy regime,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0027740,Nerve,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,C1457887,Symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0501385,Sensory nerve,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0006104,Brain,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,C0221423,Illness (finding),,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,C4522181,Brachial Amyotrophic Diplegia,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0227230,Body of stomach,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C0027792,Neural Pathways,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,C0863093,cold symptoms,,,,,,,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
2,,,,,,,C1184743,bony process,https://www.medhelp.org/posts/Coronavirus/Loss-of-smell-and-taste/show/3062743
